timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
303,23.8,74,220,5.8,747,194
304,23.4,74,220,5.5,620,187
305,23.0,74,210,5.1,368,187
306,22.3,77,210,3.4,116,114
307,21.5,80,210,1.7,0,20
308,20.8,82,0,0.0,0,0
309,19.9,86,0,0.0,0,0
310,19.1,90,0,0.0,0,0
311,18.2,94,0,0.0,0,0
312,17.5,96,0,0.0,0,0
313,16.7,97,0,0.0,0,0
314,16.0,98,0,0.0,0,0
315,17.3,93,0,0.8,0,0
316,18.5,88,0,1.7,0,0
317,19.8,84,0,2.6,0,1
318,21.1,80,0,3.4,0,41
319,22.3,76,0,4.3,184,135
320,23.6,72,290,5.1,423,200
321,22.9,72,290,7.0,645,197
322,22.1,71,290,8.9,678,256
323,21.4,71,290,10.7,624,331
324,20.7,70,290,12.6,445,440
325,19.9,69,290,14.5,224,455
326,19.2,68,180,16.4,5,279
327,18.7,68,180,15.6,146,361
328,18.2,67,180,14.9,218,324
329,17.7,66,180,14.1,149,253
330,17.2,65,180,13.3,72,120
331,16.7,64,180,12.6,0,19
332,16.2,62,200,11.8,0,0
333,16.1,62,200,10.3,0,0
334,16.1,62,200,8.7,0,0
335,16.0,62,200,7.2,0,0
336,15.8,62,200,6.9,0,0
337,15.6,61,200,6.5,0,0
338,15.4,60,200,6.2,0,0
339,15.8,61,200,6.3,0,0
340,16.2,62,200,6.4,0,0
341,16.6,62,200,6.5,0,1
342,18.2,60,200,7.2,0,39
343,19.8,57,200,8.0,202,128
344,21.5,55,200,8.7,391,217
345,21.9,53,200,9.0,595,235
346,22.3,51,200,9.4,722,233
347,22.8,49,200,9.7,753,254
348,22.0,49,200,11.0,740,284
349,21.7,48,200,12.0,692,312
350,21.4,46,200,12.9,584,355
351,20.4,47,200,10.8,641,257
352,20.0,46,200,9.8,548,228
353,19.5,45,200,8.8,338,201
354,18.4,51,200,8.3,91,122
355,17.2,56,200,7.7,0,19
356,16.0,62,230,7.2,0,0
357,15.1,66,230,6.8,0,0
358,14.2,70,230,6.3,0,0
359,13.2,74,230,5.9,0,0
360,12.3,78,230,5.5,0,0
361,11.4,83,230,5.0,0,0
362,10.5,88,340,4.6,0,0
363,10.4,88,340,4.4,0,0
364,10.3,87,340,4.3,0,0
365,10.2,87,330,4.1,0,1
366,12.6,78,330,5.1,0,38
367,15.0,69,330,6.2,170,137
368,17.4,62,330,7.2,396,214
369,19.4,56,330,6.5,608,228
370,21.4,51,330,5.8,695,264
371,23.4,46,240,5.1,793,241
372,23.0,47,240,6.2,857,208
373,23.5,40,240,6.7,867,197
